game	team	conference	location	result
417	DAL	West	Away	Loss
417	GS	West	Home	Win
418	MIA	East	Away	Win
418	CHA	East	Home	Loss
419	DET	East	Away	Win
419	IND	East	Home	Loss
420	POR	West	Away	Win
420	ORL	East	Home	Loss
421	OKC	West	Away	Win
421	PHI	East	Home	Loss
422	LAC	West	Away	Loss
422	WAS	East	Home	Win
423	UTA	West	Away	Win
423	BOS	East	Home	Loss
424	BKN	East	Away	Loss
424	TOR	East	Home	Win
425	ATL	East	Away	Loss
425	MEM	West	Home	Win
426	CHI	East	Away	Win
426	MIL	East	Home	Loss
427	NO	West	Away	Loss
427	DEN	West	Home	Win
428	SA	West	Away	Loss
428	HOU	West	Home	Win
429	POR	West	Away	Win
429	CHA	East	Home	Loss
430	UTA	West	Away	Loss
430	CLE	East	Home	Win
431	OKC	West	Away	Loss
431	NY	East	Home	Win
432	MIL	East	Away	Loss
432	HOU	West	Home	Win
433	LAC	West	Away	Loss
433	MIA	East	Home	Win
434	PHO	West	Away	Win
434	MIN	West	Home	Loss
435	DAL	West	Away	Loss
435	SA	West	Home	Win
436	BOS	East	Away	Win
436	MEM	West	Home	Loss
437	SAC	West	Away	Loss
437	TOR	East	Home	Win
438	ORL	East	Away	Loss
438	DET	East	Home	Win
439	IND	East	Away	Win
439	BKN	East	Home	Loss
440	CLE	East	Away	Win
440	WAS	East	Home	Loss
441	NY	East	Away	Loss
441	CHA	East	Home	Win
442	BOS	East	Away	Win
442	IND	East	Home	Loss
443	MIA	East	Away	Loss
443	ATL	East	Home	Win
444	PHI	East	Away	Loss
444	CHI	East	Home	Win
445	UTA	West	Away	Loss
445	HOU	West	Home	Win
446	POR	West	Away	Loss
446	MIN	West	Home	Win
447	DEN	West	Away	Loss
447	OKC	West	Home	Win
448	PHO	West	Away	Win
448	DAL	West	Home	Loss
449	LAC	West	Away	Loss
449	SA	West	Home	Win
450	GS	West	Away	Win
450	LAL	West	Home	Loss
451	SAC	West	Away	Win
451	PHI	East	Home	Loss
452	NO	West	Away	Loss
452	WAS	East	Home	Win
453	CLE	East	Away	Loss
453	MIL	East	Home	Win
454	TOR	East	Away	Win
454	CHA	East	Home	Loss
455	IND	East	Away	Win
455	ATL	East	Home	Loss
456	MIA	East	Away	Win
456	BOS	East	Home	Loss
457	SAC	West	Away	Win
457	BKN	East	Home	Loss
458	ORL	East	Away	Loss
458	CHI	East	Home	Win
459	LAL	West	Away	Win
459	HOU	West	Home	Loss
460	UTA	West	Away	Loss
460	OKC	West	Home	Win
461	DET	East	Away	Loss
461	DAL	West	Home	Win
462	MIN	West	Away	Win
462	DEN	West	Home	Loss
463	SA	West	Away	Win
463	POR	West	Home	Loss
464	MEM	West	Away	Loss
464	GS	West	Home	Win
465	PHO	West	Away	Loss
465	LAC	West	Home	Win
466	CHI	East	Away	Loss
466	CLE	East	Home	Win
467	TOR	East	Away	Win
467	PHI	East	Home	Loss
468	BOS	East	Away	Loss
468	NY	East	Home	Win
469	MEM	West	Away	Loss
469	PHO	West	Home	Win
470	SA	West	Away	Loss
470	UTA	West	Home	Win
471	NY	East	Away	Loss
471	DET	East	Home	Win
472	NO	West	Away	Win
472	ORL	East	Home	Loss
473	WAS	East	Away	Loss
473	BKN	East	Home	Win
474	LAC	West	Away	Win
474	HOU	West	Home	Loss
475	DAL	West	Away	Loss
475	MIA	East	Home	Win
476	CHA	East	Away	Loss
476	MIL	East	Home	Win
477	ATL	East	Away	Loss
477	OKC	West	Home	Win
478	DEN	West	Away	Win
478	POR	West	Home	Loss
479	LAL	West	Away	Loss
479	GS	West	Home	Win
480	PHI	East	Away	Loss
480	TOR	East	Home	Win
481	MIL	East	Away	Loss
481	CHA	East	Home	Win
482	BKN	East	Away	Loss
482	IND	East	Home	Win
483	ORL	East	Away	Loss
483	WAS	East	Home	Win
484	DAL	West	Away	Loss
484	ATL	East	Home	Win
485	CHI	East	Away	Loss
485	BOS	East	Home	Win
486	LAC	West	Away	Loss
486	MEM	West	Home	Win
487	NO	West	Away	Win
487	MIA	East	Home	Loss
488	OKC	West	Away	Win
488	UTA	West	Home	Loss
489	DEN	West	Away	Win
489	GS	West	Home	Loss
490	MIN	West	Away	Win
490	PHO	West	Home	Loss
491	POR	West	Away	Win
491	LAL	West	Home	Loss
492	SA	West	Away	Win
492	SAC	West	Home	Loss
493	CLE	East	Away	Loss
493	GS	West	Home	Win
494	WAS	East	Away	Win
494	BOS	East	Home	Loss
495	HOU	West	Away	Loss
495	OKC	West	Home	Win
496	PHI	East	Away	Win
496	NY	East	Home	Loss
497	MIN	West	Away	Win
497	LAL	West	Home	Loss
498	TOR	East	Away	Loss
498	DAL	West	Home	Win
499	IND	East	Away	Loss
499	DET	East	Home	Win
500	ORL	East	Away	Loss
500	MIA	East	Home	Win
501	CHI	East	Away	Win
501	MIL	East	Home	Loss
502	BKN	East	Away	Loss
502	SA	West	Home	Win
503	UTA	West	Away	Loss
503	DEN	West	Home	Win
504	MEM	West	Away	Loss
504	PHO	West	Home	Win
505	SAC	West	Away	Loss
505	LAC	West	Home	Win
506	BOS	East	Away	Win
506	CHA	East	Home	Loss
507	DAL	West	Away	Win
507	IND	East	Home	Loss
508	WAS	East	Away	Loss
508	ATL	East	Home	Win
509	NY	East	Away	Loss
509	CHI	East	Home	Win
510	DEN	West	Away	Loss
510	MIN	West	Home	Win
511	BKN	East	Away	Loss
511	NO	West	Home	Win
512	TOR	East	Away	Loss
512	OKC	West	Home	Win
513	CLE	East	Away	Loss
513	SAC	West	Home	Win
514	UTA	West	Away	Loss
514	GS	West	Home	Win
515	MEM	West	Away	Win
515	LAL	West	Home	Loss
516	DET	East	Away	Loss
516	ORL	East	Home	Win
517	HOU	West	Away	Loss
517	BOS	East	Home	Win
518	MIN	West	Away	Loss
518	MIL	East	Home	Win
519	NY	East	Away	Loss
519	SA	West	Home	Win
520	PHI	East	Away	Loss
520	POR	West	Home	Win
521	HOU	West	Away	Loss
521	WAS	East	Home	Win
522	ATL	East	Away	Loss
522	TOR	East	Home	Win
523	IND	East	Away	Loss
523	CHI	East	Home	Win
524	BKN	East	Away	Win
524	MIA	East	Home	Loss
525	DAL	West	Away	Win
525	NO	West	Home	Loss
526	MIL	East	Away	Win
526	OKC	West	Home	Loss
527	PHO	West	Away	Win
527	SAC	West	Home	Loss
528	CHA	East	Away	Win
528	GS	West	Home	Loss
529	LAC	West	Away	Win
529	LAL	West	Home	Loss
530	SA	West	Away	Loss
530	DET	East	Home	Win
531	NY	East	Away	Win
531	NO	West	Home	Loss
532	MIA	East	Away	Win
532	ORL	East	Home	Loss
533	POR	West	Away	Loss
533	ATL	East	Home	Win
534	CLE	East	Away	Loss
534	UTA	West	Home	Win
535	MEM	West	Away	Loss
535	GS	West	Home	Win
536	PHI	East	Away	Win
536	DEN	West	Home	Loss
537	CHI	East	Away	Loss
537	WAS	East	Home	Win
538	MIN	West	Away	Win
538	IND	East	Home	Loss
539	BKN	East	Away	Loss
539	BOS	East	Home	Win
540	LAL	West	Away	Loss
540	HOU	West	Home	Win
541	CHA	East	Away	Loss
541	LAC	West	Home	Win
542	DAL	West	Away	Win
542	OKC	West	Home	Loss
543	MEM	West	Away	Win
543	SAC	West	Home	Loss
544	PHI	East	Away	Win
544	PHO	West	Home	Loss
545	ORL	East	Away	Loss
545	BKN	East	Home	Win
546	MIL	East	Away	Loss
546	TOR	East	Home	Win
547	POR	West	Away	Win
547	CHI	East	Home	Loss
548	LAL	West	Away	Loss
548	MIN	West	Home	Win
549	POR	West	Away	Loss
549	CLE	East	Home	Win
550	SA	West	Away	Win
550	NY	East	Home	Loss
551	ATL	East	Away	Loss
551	PHO	West	Home	Win
552	CHA	East	Away	Win
552	SAC	West	Home	Loss
553	MEM	West	Away	Loss
553	LAC	West	Home	Win
554	HOU	West	Away	Win
554	ORL	East	Home	Loss
555	SA	West	Away	Loss
555	PHI	East	Home	Win
556	NY	East	Away	Loss
556	WAS	East	Home	Win
557	MIN	West	Away	Loss
557	BKN	East	Home	Win
558	DET	East	Away	Loss
558	MIA	East	Home	Win
559	CLE	East	Away	Loss
559	BOS	East	Home	Win
560	TOR	East	Away	Win
560	CHI	East	Home	Loss
561	IND	East	Away	Loss
561	MIL	East	Home	Win
562	GS	West	Away	Win
562	DAL	West	Home	Loss
563	PHO	West	Away	Loss
563	DEN	West	Home	Win
564	NO	West	Away	Win
564	UTA	West	Home	Loss
565	OKC	West	Away	Win
565	LAL	West	Home	Loss
566	GS	West	Away	Win
566	HOU	West	Home	Loss
567	OKC	West	Away	Win
567	LAC	West	Home	Loss
568	NY	East	Away	Loss
568	MIA	East	Home	Win
569	DET	East	Away	Loss
569	PHI	East	Home	Win
570	MIN	West	Away	Loss
570	BOS	East	Home	Win
571	TOR	East	Away	Win
571	MIL	East	Home	Loss
572	CHI	East	Away	Win
572	DAL	West	Home	Loss
573	PHO	West	Away	Loss
573	SA	West	Home	Win
574	UTA	West	Away	Loss
574	DEN	West	Home	Win
575	WAS	East	Away	Win
575	MEM	West	Home	Loss
576	ATL	East	Away	Loss
576	POR	West	Home	Win
577	CHA	East	Away	Win
577	LAL	West	Home	Loss
578	GS	West	Away	Win
578	LAC	West	Home	Loss
579	BOS	East	Away	Win
579	BKN	East	Home	Loss
580	HOU	West	Away	Loss
580	DET	East	Home	Win
581	CHI	East	Away	Loss
581	IND	East	Home	Win
582	CLE	East	Away	Win
582	ORL	East	Home	Loss
583	MIL	East	Away	Win
583	WAS	East	Home	Loss
584	NO	West	Away	Loss
584	MIN	West	Home	Win
585	DEN	West	Away	Loss
585	SAC	West	Home	Win
586	UTA	West	Away	Loss
586	MIA	East	Home	Win
587	NY	East	Away	Win
587	DAL	West	Home	Loss
588	OKC	West	Away	Loss
588	PHO	West	Home	Win
589	SA	West	Away	Loss
589	POR	West	Home	Win
590	ATL	East	Away	Loss
590	LAL	West	Home	Win
591	MIL	East	Away	Loss
591	IND	East	Home	Win
592	TOR	East	Away	Win
592	BKN	East	Home	Loss
593	HOU	West	Away	Win
593	CHI	East	Home	Loss
594	CLE	East	Away	Loss
594	MIN	West	Home	Win
595	DET	East	Away	Loss
595	NO	West	Home	Win
596	SA	West	Away	Win
596	SAC	West	Home	Loss
597	DEN	West	Away	Loss
597	GS	West	Home	Win
598	ATL	East	Away	Loss
598	LAC	West	Home	Win
599	MIA	East	Away	Win
599	TOR	East	Home	Loss
600	POR	West	Away	Win
600	OKC	West	Home	Loss
601	ORL	East	Away	Loss
601	DAL	West	Home	Win
602	SAC	West	Away	Loss
602	LAL	West	Home	Win
603	DAL	West	Away	Win
603	CHA	East	Home	Loss
604	MIA	East	Away	Win
604	IND	East	Home	Loss
605	UTA	West	Away	Win
605	WAS	East	Home	Loss
606	DET	East	Away	Win
606	BKN	East	Home	Loss
607	CHI	East	Away	Win
607	NY	East	Home	Loss
608	POR	West	Away	Loss
608	HOU	West	Home	Win
609	NO	West	Away	Loss
609	MEM	West	Home	Win
610	ORL	East	Away	Loss
610	MIL	East	Home	Win
611	OKC	West	Away	Loss
611	MIN	West	Home	Win
612	ATL	East	Away	Win
612	DEN	West	Home	Loss
613	LAC	West	Away	Win
613	GS	West	Home	Loss
614	BOS	East	Away	Win
614	PHI	East	Home	Loss
615	CLE	East	Away	Loss
615	TOR	East	Home	Win
616	LAC	West	Away	Win
616	SAC	West	Home	Loss
617	SA	West	Away	Loss
617	LAL	West	Home	Win
618	UTA	West	Away	Loss
618	CHA	East	Home	Win
619	CLE	East	Away	Loss
619	IND	East	Home	Win
620	ORL	East	Away	Loss
620	WAS	East	Home	Win
621	BKN	East	Away	Win
621	ATL	East	Home	Loss
622	GS	West	Away	Win
622	MIL	East	Home	Loss
623	NY	East	Away	Loss
623	MIN	West	Home	Win
624	POR	West	Away	Loss
624	NO	West	Home	Win
625	MEM	West	Away	Loss
625	DEN	West	Home	Win
626	HOU	West	Away	Win
626	PHO	West	Home	Loss
627	LAL	West	Away	Win
627	DAL	West	Home	Loss
628	SAC	West	Away	Loss
628	LAC	West	Home	Win
629	OKC	West	Away	Win
629	CHA	East	Home	Loss
630	BKN	East	Away	Loss
630	WAS	East	Home	Win
631	GS	West	Away	Win
631	TOR	East	Home	Loss
632	DET	East	Away	Loss
632	CHI	East	Home	Win
633	DEN	West	Away	Loss
633	SA	West	Home	Win
634	MIL	East	Away	Loss
634	MIA	East	Home	Win
635	NO	West	Away	Win
635	NY	East	Home	Loss
636	IND	East	Away	Win
636	PHO	West	Home	Loss
637	POR	West	Away	Loss
637	MIN	West	Home	Win
638	TOR	East	Away	Loss
638	PHI	East	Home	Win
639	MIL	East	Away	Win
639	WAS	East	Home	Loss
640	SA	West	Away	Loss
640	ATL	East	Home	Win
641	NY	East	Away	Win
641	BKN	East	Home	Loss
642	SAC	West	Away	Loss
642	OKC	West	Home	Win
643	MIA	East	Away	Loss
643	CHI	East	Home	Win
644	LAL	West	Away	Loss
644	MEM	West	Home	Win
645	GS	West	Away	Win
645	CLE	East	Home	Loss
646	IND	East	Away	Win
646	UTA	West	Home	Loss
647	HOU	West	Away	Loss
647	LAC	West	Home	Win
648	CHA	East	Away	Win
648	DET	East	Home	Loss
649	MIN	West	Away	Loss
649	ORL	East	Home	Win
650	NO	West	Away	Win
650	BOS	East	Home	Loss
651	DAL	West	Away	Loss
651	DEN	West	Home	Win
652	PHO	West	Away	Loss
652	POR	West	Home	Win
653	WAS	East	Away	Loss
653	CHA	East	Home	Win
654	NO	West	Away	Loss
654	ATL	East	Home	Win
655	SA	West	Away	Win
655	BKN	East	Home	Loss
656	DET	East	Away	Loss
656	TOR	East	Home	Win
657	GS	West	Away	Win
657	CHI	East	Home	Loss
658	NY	East	Away	Loss
658	MEM	West	Home	Win
659	MIA	East	Away	Win
659	MIL	East	Home	Loss
660	LAL	West	Away	Loss
660	OKC	West	Home	Win
661	UTA	West	Away	Win
661	SAC	West	Home	Loss
662	DEN	West	Away	Loss
662	LAC	West	Home	Win
663	PHI	East	Away	Win
663	BOS	East	Home	Loss
664	ORL	East	Away	Loss
664	CLE	East	Home	Win
665	MIN	West	Away	Loss
665	HOU	West	Home	Win
666	IND	East	Away	Loss
666	POR	West	Home	Win
667	SA	West	Away	Loss
667	TOR	East	Home	Win
668	MIA	East	Away	Loss
668	BKN	East	Home	Win
669	WAS	East	Away	Win
669	DET	East	Home	Loss
670	SAC	West	Away	Loss
670	MEM	West	Home	Win
671	PHO	West	Away	Win
671	DEN	West	Home	Loss
672	IND	East	Away	Loss
672	LAL	West	Home	Win
673	NY	East	Away	Win
673	UTA	West	Home	Loss
674	OKC	West	Away	Win
674	CLE	East	Home	Loss
675	CHI	East	Away	Win
675	ATL	East	Home	Loss
676	MIA	East	Away	Win
676	CHA	East	Home	Loss
677	MEM	West	Away	Loss
677	NO	West	Home	Win
678	MIL	East	Away	Loss
678	PHI	East	Home	Win
679	GS	West	Away	Loss
679	HOU	West	Home	Win
680	TOR	East	Away	Loss
680	MIN	West	Home	Win
681	LAC	West	Away	Loss
681	UTA	West	Home	Win
682	DAL	West	Away	Loss
682	POR	West	Home	Win
683	ORL	East	Away	Win
683	BOS	East	Home	Loss
684	NY	East	Away	Loss
684	LAL	West	Home	Win
685	BKN	East	Away	Win
685	DET	East	Home	Loss
686	IND	East	Away	Win
686	SA	West	Home	Loss
687	SAC	West	Away	Loss
687	CHA	East	Home	Win
688	UTA	West	Away	Loss
688	ATL	East	Home	Win
689	MIA	East	Away	Loss
689	HOU	West	Home	Win
690	PHI	East	Away	Loss
690	MEM	West	Home	Win
691	PHO	West	Away	Loss
691	MIL	East	Home	Win
692	CHI	East	Away	Loss
692	NO	West	Home	Win
693	WAS	East	Away	Loss
693	DAL	West	Home	Win
694	POR	West	Away	Loss
694	DEN	West	Home	Win
695	MIN	West	Away	Win
695	LAC	West	Home	Loss
696	SAC	West	Away	Win
696	ORL	East	Home	Loss
697	BKN	East	Away	Loss
697	OKC	West	Home	Win
698	CLE	East	Away	Loss
698	SA	West	Home	Win
699	NY	East	Away	Loss
699	GS	West	Home	Win
700	BOS	East	Away	Loss
700	LAL	West	Home	Win
701	NO	West	Away	Win
701	CHA	East	Home	Loss
702	UTA	West	Away	Win
702	DET	East	Home	Loss
703	PHO	West	Away	Loss
703	IND	East	Home	Win
704	CHI	East	Away	Loss
704	PHI	East	Home	Win
705	TOR	East	Away	Win
705	ATL	East	Home	Loss
706	HOU	West	Away	Win
706	DAL	West	Home	Loss
707	SA	West	Away	Win
707	MEM	West	Home	Loss
708	MIN	West	Away	Loss
708	POR	West	Home	Win
709	BOS	East	Away	Win
709	LAC	West	Home	Loss
710	SAC	West	Away	Win
710	MIA	East	Home	Loss
711	WAS	East	Away	Loss
711	OKC	West	Home	Win
712	NY	East	Away	Loss
712	DEN	West	Home	Win
713	MIN	West	Away	Loss
713	GS	West	Home	Win
714	ATL	East	Away	Loss
714	CHA	East	Home	Win
715	IND	East	Away	Loss
715	CLE	East	Home	Win
716	UTA	West	Away	Win
716	TOR	East	Home	Loss
717	LAL	West	Away	Win
717	CHI	East	Home	Loss
718	LAC	West	Away	Win
718	MEM	West	Home	Loss
719	BKN	East	Away	Loss
719	MIL	East	Home	Win
720	HOU	West	Away	Loss
720	NO	West	Home	Win
721	POR	West	Away	Win
721	DAL	West	Home	Loss
722	PHI	East	Away	Win
722	SA	West	Home	Loss
723	NY	East	Away	Win
723	PHO	West	Home	Loss
724	OKC	West	Away	Win
724	DET	East	Home	Loss
725	ORL	East	Away	Loss
725	IND	East	Home	Win
726	WAS	East	Away	Win
726	ATL	East	Home	Loss
727	CHA	East	Away	Loss
727	MIA	East	Home	Win
728	BOS	East	Away	Loss
728	GS	West	Home	Win
729	DAL	West	Away	Loss
729	DEN	West	Home	Win
730	BKN	East	Away	Loss
730	MIN	West	Home	Win
731	MIL	East	Away	Win
731	CHI	East	Home	Loss
732	PHO	West	Away	Loss
732	HOU	West	Home	Win
733	LAC	West	Away	Win
733	NO	West	Home	Loss
734	DET	East	Away	Loss
734	CLE	East	Home	Win
735	PHI	East	Away	Loss
735	OKC	West	Home	Win
736	LAL	West	Away	Loss
736	TOR	East	Home	Win
737	SAC	West	Away	Loss
737	SA	West	Home	Win
738	CHA	East	Away	Loss
738	IND	East	Home	Win
739	MIN	West	Away	Loss
739	ATL	East	Home	Win
740	PHO	West	Away	Loss
740	MEM	West	Home	Win
741	PHI	East	Away	Loss
741	MIL	East	Home	Win
742	MIA	East	Away	Win
742	DAL	West	Home	Loss
743	BOS	East	Away	Win
743	DEN	West	Home	Loss
744	OKC	West	Away	Loss
744	WAS	East	Home	Win
745	BKN	East	Away	Loss
745	NY	East	Home	Win
746	MIN	West	Away	Loss
746	TOR	East	Home	Win
747	CLE	East	Away	Loss
747	DET	East	Home	Win
748	ORL	East	Away	Loss
748	HOU	West	Home	Win
749	SAC	West	Away	Win
749	NO	West	Home	Loss
750	DEN	West	Away	Loss
750	SA	West	Home	Win
751	GS	West	Away	Loss
751	UTA	West	Home	Win
752	POR	West	Away	Win
752	LAC	West	Home	Loss
753	MEM	West	Away	Loss
753	IND	East	Home	Win
754	LAL	West	Away	Loss
754	ORL	East	Home	Win
755	CHA	East	Away	Win
755	ATL	East	Home	Loss
756	PHI	East	Away	Loss
756	BKN	East	Home	Win
757	MIA	East	Away	Loss
757	CLE	East	Home	Win
758	NY	East	Away	Loss
758	BOS	East	Home	Win
759	CHI	East	Away	Loss
759	POR	West	Home	Win
760	DAL	West	Away	Loss
760	PHO	West	Home	Win
761	MEM	West	Away	Loss
761	DET	East	Home	Win
762	TOR	East	Away	Loss
762	WAS	East	Home	Win
763	MIL	East	Away	Loss
763	MIN	West	Home	Win
764	HOU	West	Away	Win
764	SA	West	Home	Loss
765	OKC	West	Away	Loss
765	DEN	West	Home	Win
766	IND	East	Away	Loss
766	CHA	East	Home	Win
767	ATL	East	Away	Loss
767	BOS	East	Home	Win
768	LAL	West	Away	Win
768	BKN	East	Home	Loss
769	POR	West	Away	Loss
769	TOR	East	Home	Win
770	NY	East	Away	Loss
770	MIL	East	Home	Win
771	MIA	East	Away	Loss
771	PHI	East	Home	Win
772	NO	West	Away	Win
772	OKC	West	Home	Loss
773	UTA	West	Away	Win
773	PHO	West	Home	Loss
774	GS	West	Away	Win
774	SAC	West	Home	Loss
775	CHI	East	Away	Loss
775	LAC	West	Home	Win
776	MIA	East	Away	Loss
776	DET	East	Home	Win
777	PHI	East	Away	Loss
777	IND	East	Home	Win
778	WAS	East	Away	Win
778	ORL	East	Home	Loss
779	HOU	West	Away	Win
779	CLE	East	Home	Loss
780	GS	West	Away	Loss
780	DEN	West	Home	Win
781	NO	West	Away	Loss
781	MIN	West	Home	Win
782	UTA	West	Away	Win
782	SA	West	Home	Loss
783	DAL	West	Away	Win
783	SAC	West	Home	Loss
784	LAL	West	Away	Win
784	OKC	West	Home	Loss
785	CHA	East	Away	Win
785	PHO	West	Home	Loss
786	POR	West	Away	Loss
786	BOS	East	Home	Win
787	MIL	East	Away	Win
787	BKN	East	Home	Loss
788	ATL	East	Away	Win
788	NY	East	Home	Loss
789	MEM	West	Away	Loss
789	TOR	East	Home	Win
790	POR	West	Away	Loss
790	DET	East	Home	Win
791	WAS	East	Away	Win
791	IND	East	Home	Loss
792	ORL	East	Away	Win
792	MIA	East	Home	Loss
793	UTA	West	Away	Win
793	NO	West	Home	Loss
794	CHA	East	Away	Loss
794	DEN	West	Home	Win
795	CHI	East	Away	Loss
795	SAC	West	Home	Win
796	DAL	West	Away	Loss
796	LAC	West	Home	Win
797	CLE	East	Away	Loss
797	ORL	East	Home	Win
798	MEM	West	Away	Loss
798	ATL	East	Home	Win
799	HOU	West	Away	Win
799	BKN	East	Home	Loss
800	MIL	East	Away	Win
800	NY	East	Home	Loss
801	BOS	East	Away	Loss
801	TOR	East	Home	Win
802	WAS	East	Away	Loss
802	PHI	East	Home	Win
803	OKC	West	Away	Win
803	GS	West	Home	Loss
804	PHO	West	Away	Loss
804	LAL	West	Home	Win
805	BKN	East	Away	Loss
805	DET	East	Home	Win
806	HOU	West	Away	Win
806	MIA	East	Home	Loss
807	MIN	West	Away	Loss
807	CLE	East	Home	Win
808	UTA	West	Away	Win
808	MEM	West	Home	Loss
809	SA	West	Away	Win
809	PHO	West	Home	Loss
810	ATL	East	Away	Loss
810	ORL	East	Home	Win
811	NY	East	Away	Loss
811	TOR	East	Home	Win
812	BOS	East	Away	Win
812	WAS	East	Home	Loss
813	CHA	East	Away	Loss
813	POR	West	Home	Win
814	DAL	West	Away	Loss
814	GS	West	Home	Win
815	OKC	West	Away	Loss
815	LAL	West	Home	Win
816	LAC	West	Away	Win
816	DET	East	Home	Loss
817	NO	West	Away	Loss
817	PHI	East	Home	Win
818	CLE	East	Away	Win
818	ATL	East	Home	Loss
819	IND	East	Away	Win
819	BOS	East	Home	Loss
820	MIN	West	Away	Loss
820	CHI	East	Home	Win
821	DEN	West	Away	Loss
821	HOU	West	Home	Win
822	MIL	East	Away	Loss
822	MIA	East	Home	Win
823	CHA	East	Away	Loss
823	UTA	West	Home	Win
824	POR	West	Away	Win
824	SAC	West	Home	Loss
825	NO	West	Away	Win
825	BKN	East	Home	Loss
826	MIL	East	Away	Win
826	ORL	East	Home	Loss
827	LAC	West	Away	Loss
827	PHI	East	Home	Win
828	WAS	East	Away	Win
828	CHI	East	Home	Loss
